Version,Version Name,File Name,size,LOC Touched,NR,Atuthors Number,Churn,AVG Churn,MAX Churn,ChangeSetSize,MAX ChangeSetSize,AVG ChangeSetSize,Age,Defective
0,release-4.0.0,bookkeeper-server/src/main/java/org/apache/bookkeeper/proto/BookieClient.java,126,156,8,3,126,15,122,685,281,85,35,true
0,release-4.0.0,hedwig-client/src/main/java/org/apache/hedwig/util/Pair.java,18,42,1,1,42,42,42,281,281,281,35,false
0,release-4.0.0,hedwig-server/src/main/java/org/apache/hedwig/server/handlers/BaseHandler.java,37,96,2,2,64,32,64,452,281,226,35,false
0,release-4.0.0,hedwig-server/src/main/java/org/apache/hedwig/server/topics/TrivialOwnAllTopicManager.java,26,56,2,2,52,26,52,452,281,226,35,true
0,release-4.0.0,hedwig-client/src/main/java/org/apache/hedwig/client/data/MessageConsumeData.java,24,58,2,2,58,29,58,452,281,226,35,false
0,release-4.0.0,hedwig-client/src/main/java/org/apache/hedwig/client/netty/ClientChannelPipelineFactory.java,29,68,3,2,58,19,58,481,281,160,35,false
0,release-4.0.0,bookkeeper-server/src/test/java/org/apache/bookkeeper/client/BookieRecoveryTest.java,368,524,11,3,368,33,203,744,281,67,35,true
0,release-4.0.0,hedwig-client/src/main/java/org/apache/hedwig/client/ssl/SslClientContextFactory.java,17,41,1,1,41,41,41,281,281,281,35,false
0,release-4.0.0,hedwig-server/src/test/java/org/apache/hedwig/zookeeper/TestZkUtils.java,20,47,1,1,47,47,47,281,281,281,35,false
0,release-4.0.0,hedwig-server/src/test/java/org/apache/hedwig/HelperMethods.java,34,62,2,2,58,29,57,452,281,226,35,false
0,release-4.0.0,hedwig-server/src/test/java/org/apache/hedwig/server/integration/TestHedwigHub.java,536,769,3,2,693,231,692,481,281,160,35,true
0,release-4.0.0,bookkeeper-server/src/test/java/org/apache/bookkeeper/proto/TestProtoVersions.java,75,77,2,1,75,37,75,34,27,17,5,false
0,release-4.0.0,bookkeeper-server/src/main/java/org/apache/bookkeeper/util/StringUtils.java,25,53,4,3,25,6,39,548,281,137,35,true
0,release-4.0.0,hedwig-server/src/main/java/org/apache/hedwig/server/handlers/UnsubscribeHandler.java,45,74,2,2,72,36,72,452,281,226,35,false
0,release-4.0.0,hedwig-server/src/main/java/org/apache/hedwig/server/common/TerminateJVMExceptionHandler.java,11,38,2,2,32,16,31,378,281,189,35,false
0,release-4.0.0,bookkeeper-server/src/test/java/org/apache/bookkeeper/test/CloseTest.java,32,38,4,2,32,8,31,610,281,152,35,false
0,release-4.0.0,bookkeeper-server/src/main/java/org/apache/bookkeeper/client/BookieWatcher.java,123,131,5,2,123,24,122,617,281,123,35,true
0,release-4.0.0,bookkeeper-server/src/main/java/org/apache/bookkeeper/client/BKException.java,208,208,5,3,208,41,188,547,281,109,35,false
0,release-4.0.0,hedwig-server/src/main/java/org/apache/hedwig/server/benchmark/FakeBookie.java,69,197,3,2,101,33,100,549,281,183,35,false
0,release-4.0.0,bookkeeper-server/src/test/java/org/apache/bookkeeper/client/TestFencing.java,214,221,3,1,215,71,213,74,43,24,2,true
0,release-4.0.0,bookkeeper-server/src/test/java/org/apache/bookkeeper/bookie/BookieLayoutVersionTest.java,195,255,3,1,195,65,180,49,43,16,2,true
0,release-4.0.0,bookkeeper-server/src/main/java/org/apache/bookkeeper/util/Main.java,22,24,4,3,22,5,22,548,281,137,35,true
